key_path,index_type,init_table_size,test_suite,insert_throughput_avg,insert_throughput_min,insert_throughput_max,insert_throughput_stdv,insert_throughput_cv,read_throughput_avg,read_throughput_min,read_throughput_max,read_throughput_stdv,read_throughput_cv,memory_consumption,original_read_throughput_avg,read_throughput_avg_change_ratio
datasets/fb-1,alex,1000000,42,914692.0,914692,914692,,,1287486.0,1287486.0,1287486.0,,,0.0,2744292.75,-0.5308496150784204
datasets/fb-1,alex,2000000,21,3002296.0,3002296,3002296,,,1524456.0,1524456.0,1524456.0,,,0.0,2354751.25,-0.35260422942763064
datasets/fb-1,alex,2000000,22,1135210.0,1135210,1135210,,,1713586.0,1713586.0,1713586.0,,,0.0,2664643.5,-0.3569173512329135
datasets/fb-1,alex,2000000,41,3973297.0,3973297,3973297,,,1224465.0,1224465.0,1224465.0,,,0.0,1671584.25,-0.2674823300111855
datasets/fb-1,alex,2000000,42,943575.0,943575,943575,,,1343042.0,1343042.0,1343042.0,,,0.0,2702730.75,-0.5030796167912768
datasets/fb-1,alex,5000000,21,3328944.0,3328944,3328944,,,1689697.0,1689697.0,1689697.0,,,0.0,2587196.0,-0.34690027350073205
datasets/fb-1,alex,5000000,22,1064486.0,1064486,1064486,,,1696188.0,1696188.0,1696188.0,,,0.0,2493791.5,-0.31983567992753204
datasets/fb-1,alex,5000000,41,4722918.0,4722918,4722918,,,1598942.0,1598942.0,1598942.0,,,0.0,1638862.5,-0.024358663402207322
datasets/fb-1,alex,5000000,42,1090380.0,1090380,1090380,,,1774716.0,1774716.0,1774716.0,,,0.0,2738624.25,-0.351968054763263
datasets/fb-1,alex,10000000,21,3533284.0,3533284,3533284,,,1983757.0,1983757.0,1983757.0,,,0.0,1944413.5,0.02023412201159887
datasets/fb-1,alex,10000000,22,1224575.0,1224575,1224575,,,2033477.0,2033477.0,2033477.0,,,0.0,1597247.3333333333,0.2731134105300328
datasets/fb-1,alex,10000000,41,5190711.0,5190711,5190711,,,1847254.0,1847254.0,1847254.0,,,0.0,1603659.75,0.151898961110672
datasets/fb-1,alex,10000000,42,1176030.0,1176030,1176030,,,2030437.0,2030437.0,2030437.0,,,0.0,2629668.75,-0.22787347265696486
datasets/fb-1,alex,20000000,21,3368541.0,3368541,3368541,,,1828331.0,1828331.0,1828331.0,,,0.0,1833429.0,-0.0027805821768936783
datasets/fb-1,alex,20000000,22,1083310.0,1083310,1083310,,,1796914.0,1796914.0,1796914.0,,,0.0,1820365.75,-0.01288298793800092
datasets/fb-1,alex,20000000,41,5132640.0,5132640,5132640,,,1752055.0,1752055.0,1752055.0,,,0.0,1632321.75,0.07335150070750451
datasets/fb-1,alex,20000000,42,1167632.0,1167632,1167632,,,1876530.0,1876530.0,1876530.0,,,0.0,2436418.75,-0.22979988559027467
datasets/fb-1,alex,50000000,21,3426230.0,3426230,3426230,,,1784247.0,1784247.0,1784247.0,,,0.0,1982320.0,-0.09991979095201582
datasets/fb-1,alex,50000000,22,1060850.0,1060850,1060850,,,1745208.0,1745208.0,1745208.0,,,0.0,1922866.75,-0.09239264759245538
datasets/fb-1,alex,50000000,41,5125088.0,5125088,5125088,,,1696430.0,1696430.0,1696430.0,,,0.0,1916164.25,-0.1146740160714302
datasets/fb-1,alex,50000000,42,1184410.0,1184410,1184410,,,1790594.0,1790594.0,1790594.0,,,0.0,2360738.0,-0.2415109173487274
datasets/fb-1,alex,100000000,21,3948592.0,3948592,3948592,,,1759059.0,1759059.0,1759059.0,,,0.0,1839832.75,-0.04390276779234417
datasets/fb-1,alex,100000000,22,1079713.0,1079713,1079713,,,1767517.0,1767517.0,1767517.0,,,0.0,1813535.75,-0.02537515458407699
datasets/fb-1,alex,100000000,41,5353981.0,5353981,5353981,,,1848662.0,1848662.0,1848662.0,,,0.0,1945333.25,-0.0496939277627625
datasets/fb-1,alex,100000000,42,1271234.0,1271234,1271234,,,,,,,,0.0,2168099.75,
datasets/fb-1,lipp,0,21,337444.0,337444,337444,,,621448.0,621448.0,621448.0,,,0.0,691164.5,-0.10086817248281704
datasets/fb-1,lipp,0,22,1158637.0,1158637,1158637,,,2653450.0,2653450.0,2653450.0,,,0.0,2643076.5,0.00392478235117296
datasets/fb-1,lipp,1000000,21,5430978.0,5430978,5430978,,,1382994.0,1382994.0,1382994.0,,,0.0,1463162.0,-0.05479092540675605
datasets/fb-1,lipp,1000000,22,1299374.0,1299374,1299374,,,2135135.0,2135135.0,2135135.0,,,0.0,2551579.0,-0.16321031016480383
datasets/fb-1,lipp,1000000,41,341425.0,341425,341425,,,633900.0,633900.0,633900.0,,,0.0,699880.5,-0.09427395105307264
datasets/fb-1,lipp,1000000,42,1115544.0,1115544,1115544,,,2295442.0,2295442.0,2295442.0,,,0.0,2547444.5,-0.09892364681546546
datasets/fb-1,lipp,2000000,21,5613394.0,5613394,5613394,,,1440016.0,1440016.0,1440016.0,,,0.0,1506167.0,-0.04392009650988237
datasets/fb-1,lipp,2000000,22,1298074.0,1298074,1298074,,,2129933.0,2129933.0,2129933.0,,,0.0,2562825.0,-0.16891204042414132
datasets/fb-1,lipp,2000000,41,1356364.0,1356364,1356364,,,3218088.0,3218088.0,3218088.0,,,0.0,701607.5,3.5867354610661946
datasets/fb-1,lipp,2000000,42,1282045.0,1282045,1282045,,,3216381.0,3216381.0,3216381.0,,,0.0,2270418.0,0.41664706675158497
datasets/fb-1,lipp,5000000,21,6069585.0,6069585,6069585,,,1579645.0,1579645.0,1579645.0,,,0.0,1514987.0,0.04267891407649042
datasets/fb-1,lipp,5000000,22,1323185.0,1323185,1323185,,,2173183.0,2173183.0,2173183.0,,,0.0,2358484.0,-0.07856784273287416
datasets/fb-1,lipp,5000000,41,1150347.0,1150347,1150347,,,3373413.0,3373413.0,3373413.0,,,0.0,709311.0,3.7559011491433236
datasets/fb-1,lipp,5000000,42,1215928.0,1215928,1215928,,,3102474.0,3102474.0,3102474.0,,,0.0,2308070.5,0.3441851104634802
datasets/fb-1,lipp,10000000,21,6610978.0,6610978,6610978,,,1740089.0,1740089.0,1740089.0,,,0.0,1700047.0,0.023553466462986023
datasets/fb-1,lipp,10000000,22,1332184.0,1332184,1332184,,,2179710.0,2179710.0,2179710.0,,,0.0,2359012.5,-0.07600743955362678
datasets/fb-1,lipp,10000000,41,1041321.0,1041321,1041321,,,3494545.0,3494545.0,3494545.0,,,0.0,744807.5,3.6918767601024425
datasets/fb-1,lipp,10000000,42,1218998.0,1218998,1218998,,,3091980.0,3091980.0,3091980.0,,,0.0,2341901.0,0.3202863827292443
datasets/fb-1,lipp,20000000,21,7316662.0,7316662,7316662,,,1989270.0,1989270.0,1989270.0,,,0.0,2084596.0,-0.04572876471028439
datasets/fb-1,lipp,20000000,22,1344765.0,1344765,1344765,,,2165014.0,2165014.0,2165014.0,,,0.0,2389637.0,-0.09399879563297689
datasets/fb-1,lipp,20000000,41,928508.0,928508,928508,,,3521108.0,3521108.0,3521108.0,,,0.0,808846.5,3.3532462587153433
datasets/fb-1,lipp,20000000,42,1213383.0,1213383,1213383,,,3005600.0,3005600.0,3005600.0,,,0.0,2359205.0,0.2739884834086059
datasets/fb-1,lipp,50000000,21,8134678.0,8134678,8134678,,,2535888.0,2535888.0,2535888.0,,,0.0,2826990.5,-0.10297257808259348
datasets/fb-1,lipp,50000000,22,1510546.0,1510546,1510546,,,2442677.0,2442677.0,2442677.0,,,0.0,2766030.5,-0.11690163937093247
datasets/fb-1,lipp,50000000,41,853332.0,853332,853332,,,3208342.0,3208342.0,3208342.0,,,0.0,1022855.0,2.136653777905959
datasets/fb-1,lipp,50000000,42,1407058.0,1407058,1407058,,,2590892.0,2590892.0,2590892.0,,,0.0,2458669.0,0.053778284104123004
datasets/fb-1,lipp,100000000,21,8054718.0,8054718,8054718,,,2964271.0,2964271.0,2964271.0,,,0.0,3571772.0,-0.17008392472979797
datasets/fb-1,lipp,100000000,22,1682156.0,1682156,1682156,,,2903103.0,2903103.0,2903103.0,,,0.0,3476199.0,-0.16486282862402296
datasets/fb-1,lipp,100000000,41,806732.0,806732,806732,,,2811260.0,2811260.0,2811260.0,,,0.0,1593202.5,0.7645340124685971
datasets/fb-1,lipp,100000000,42,1417665.0,1417665,1417665,,,2730123.0,2730123.0,2730123.0,,,0.0,2631828.0,0.037348565331777
datasets/fb-1,lipp,200000000,10,10380935.0,10380935,10380935,,,3877903.0,3877903.0,3877903.0,,,0.0,4912116.0,-0.210543277072447
datasets/linear,alex,0,21,4920290.0,4920290,4920290,,,12946489.0,12946489.0,12946489.0,,,0.0,12233108.0,0.05831559731181969
datasets/linear,alex,0,22,3604456.0,3604456,3604456,,,14432667.0,14432667.0,14432667.0,,,0.0,13704729.5,0.053115787509706046
datasets/linear,alex,1000000,21,2844951.0,2844951,2844951,,,1946466.0,1946466.0,1946466.0,,,0.0,4407167.5,-0.5583408164087251
datasets/linear,alex,1000000,22,2366248.0,2366248,2366248,,,4031799.0,4031799.0,4031799.0,,,0.0,13394692.5,-0.6990002570047801
datasets/linear,alex,1000000,41,2612872.0,2612872,2612872,,,3812281.0,3812281.0,3812281.0,,,0.0,13656556.0,-0.7208460903319988
datasets/linear,alex,1000000,42,2210436.0,2210436,2210436,,,3810513.0,3810513.0,3810513.0,,,0.0,13526803.5,-0.7182990793057651
datasets/linear,alex,2000000,21,2899942.0,2899942,2899942,,,1980895.0,1980895.0,1980895.0,,,0.0,3851564.5,-0.48569081473255865
datasets/linear,alex,2000000,22,2466213.0,2466213,2466213,,,4412744.0,4412744.0,4412744.0,,,0.0,12249002.0,-0.6397466503801698
datasets/linear,alex,2000000,41,2609870.0,2609870,2609870,,,3797593.0,3797593.0,3797593.0,,,0.0,13586034.0,-0.7204781763390258
datasets/linear,alex,2000000,42,2208325.0,2208325,2208325,,,3819136.0,3819136.0,3819136.0,,,0.0,13548922.5,-0.7181225296697947
datasets/linear,alex,5000000,21,3484940.0,3484940,3484940,,,2136670.0,2136670.0,2136670.0,,,0.0,3925004.5,-0.45562610182994695
datasets/linear,alex,5000000,22,2954556.0,2954556,2954556,,,6463563.0,6463563.0,6463563.0,,,0.0,13481681.5,-0.5205670004887744
datasets/linear,alex,5000000,41,3601877.0,3601877,3601877,,,6239004.0,6239004.0,6239004.0,,,0.0,13687170.0,-0.5441713663233525
datasets/linear,alex,5000000,42,2895560.0,2895560,2895560,,,6234460.0,6234460.0,6234460.0,,,0.0,13430309.0,-0.5357917677098867
datasets/linear,alex,10000000,21,3511909.0,3511909,3511909,,,2215217.0,2215217.0,2215217.0,,,0.0,3480885.0,-0.36360523257734745
