id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,test_suite
20250113180333,1,0,0,0,0,datasets/covid,,alex,8617576,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113180528,0,1,0,0,0,datasets/covid,,alex,3211428,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113180552,1,0,0,0,0,datasets/covid,,alex,8503007,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113180747,0,1,0,0,0,datasets/covid,,alex,5765584,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113180810,1,0,0,0,0,datasets/covid,,alex,8656189,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113181005,0,1,0,0,0,datasets/covid,,alex,3342656,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113181029,1,0,0,0,0,datasets/covid,,alex,8672195,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113181217,0,1,0,0,0,datasets/covid,,alex,7261623,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113181241,1,0,0,0,0,datasets/covid,,alex,8624285,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113181430,0,1,0,0,0,datasets/covid,,alex,3385742,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113181453,1,0,0,0,0,datasets/covid,,alex,8622101,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113181642,0,1,0,0,0,datasets/covid,,alex,8764167,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113181705,1,0,0,0,0,datasets/covid,,alex,8617478,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113181854,0,1,0,0,0,datasets/covid,,alex,3376337,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113181918,1,0,0,0,0,datasets/covid,,alex,8588034,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113182104,0,1,0,0,0,datasets/covid,,alex,9917720,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113182129,1,0,0,0,0,datasets/covid,,alex,8159950,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113182318,0,1,0,0,0,datasets/covid,,alex,3265292,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113182342,1,0,0,0,0,datasets/covid,,alex,8270617,180000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113182531,0,1,0,0,0,datasets/covid,,alex,4224812,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113182559,1,0,0,0,0,datasets/covid,,alex,7142952,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,21
20250113182749,0,1,0,0,0,datasets/covid,,alex,2868176,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113182812,1,0,0,0,0,datasets/covid,,alex,8682813,150000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,22
20250113183444,0,1,0,0,0,datasets/covid,,alex,6625480,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113183509,1,0,0,0,0,datasets/covid,,alex,8060008,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113183641,0,1,0,0,0,datasets/covid,,alex,3832625,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113183705,1,0,0,0,0,datasets/covid,,alex,8419309,199000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113183838,0,1,0,0,0,datasets/covid,,alex,5463414,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113183903,1,0,0,0,0,datasets/covid,,alex,8065474,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113184035,0,1,0,0,0,datasets/covid,,alex,3603330,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113184059,1,0,0,0,0,datasets/covid,,alex,8456544,198000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113184231,0,1,0,0,0,datasets/covid,,alex,6226878,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113184256,1,0,0,0,0,datasets/covid,,alex,7861481,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113184429,0,1,0,0,0,datasets/covid,,alex,3617118,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113184453,1,0,0,0,0,datasets/covid,,alex,8461641,195000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113184624,0,1,0,0,0,datasets/covid,,alex,5930484,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113184648,1,0,0,0,0,datasets/covid,,alex,8347162,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,41
20250113184821,0,1,0,0,0,datasets/covid,,alex,3521039,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
20250113184845,1,0,0,0,0,datasets/covid,,alex,8493679,190000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,42
