id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite,preload_suite,partition_method,partition_num
20250114195516,0,1,0,0,0,datasets/fb-1,,btreeolc,17717517,2000000,0.99,5049245384,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114195526,1,0,0,0,0,datasets/fb-1,,btreeolc,19214375,2000000,0.99,5049245384,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114195555,0,1,0,0,0,datasets/fb-1,,btreeolc,105216252,5000000,0.99,7284345768,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114195606,1,0,0,0,0,datasets/fb-1,,btreeolc,19224815,5000000,0.99,7284345768,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114195641,0,1,0,0,0,datasets/fb-1,,btreeolc,17635585,5000000,0.99,5020114904,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114195651,1,0,0,0,0,datasets/fb-1,,btreeolc,19037007,5000000,0.99,5020114904,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114195720,0,1,0,0,0,datasets/fb-1,,btreeolc,106415426,10000000,0.99,7167109088,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114195731,1,0,0,0,0,datasets/fb-1,,btreeolc,19109350,10000000,0.99,7167109088,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21,0,direct,1
20250114195806,0,1,0,0,0,datasets/fb-1,,btreeolc,17534632,10000000,0.99,5017083632,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
20250114195817,1,0,0,0,0,datasets/fb-1,,btreeolc,19087585,10000000,0.99,5017083632,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22,0,direct,1
