id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite
20241126174918,1,0,0,0,0,datasets/linear,,btreeolc,10346953,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126175000,0,1,0,0,0,datasets/linear,,btreeolc,19251326,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126175011,1,0,0,0,0,datasets/linear,,btreeolc,19048978,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126175110,0,1,0,0,0,datasets/covid,,btreeolc,12625891,200000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126175339,1,0,0,0,0,datasets/covid,,btreeolc,1346157,200000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126175429,0,1,0,0,0,datasets/covid,,btreeolc,12720735,200000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126175543,1,0,0,0,0,datasets/covid,,btreeolc,2708479,200000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126175627,0,1,0,0,0,datasets/covid,,btreeolc,13016610,200000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126175705,1,0,0,0,0,datasets/covid,,btreeolc,5267536,200000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126175748,0,1,0,0,0,datasets/covid,,btreeolc,13056177,200000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126175808,1,0,0,0,0,datasets/covid,,btreeolc,10206328,200000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126175850,0,1,0,0,0,datasets/covid,,btreeolc,13030550,200000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126175900,1,0,0,0,0,datasets/covid,,btreeolc,18751994,200000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126180022,0,1,0,0,0,datasets/covid,,btreeolc,12796168,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126180250,1,0,0,0,0,datasets/covid,,btreeolc,1347111,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126180345,0,1,0,0,0,datasets/covid,,btreeolc,22755029,0,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126180458,1,0,0,0,0,datasets/covid,,btreeolc,2719640,0,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126180540,0,1,0,0,0,datasets/covid,,btreeolc,40642905,0,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126180617,1,0,0,0,0,datasets/covid,,btreeolc,5363766,0,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126180651,0,1,0,0,0,datasets/covid,,btreeolc,71947220,0,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126180710,1,0,0,0,0,datasets/covid,,btreeolc,10528490,0,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126180742,0,1,0,0,0,datasets/covid,,btreeolc,110658350,0,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126180753,1,0,0,0,0,datasets/covid,,btreeolc,19234546,0,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126181056,0,1,0,0,0,datasets/covid,,btreeolc,1420568,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126181325,1,0,0,0,0,datasets/covid,,btreeolc,1346980,0,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126181510,0,1,0,0,0,datasets/covid,,btreeolc,2782976,0,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126181623,1,0,0,0,0,datasets/covid,,btreeolc,2736312,0,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126181730,0,1,0,0,0,datasets/covid,,btreeolc,5318575,0,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126181807,1,0,0,0,0,datasets/covid,,btreeolc,5403981,0,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126181853,0,1,0,0,0,datasets/covid,,btreeolc,10359667,0,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126181912,1,0,0,0,0,datasets/covid,,btreeolc,10415231,0,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126181950,0,1,0,0,0,datasets/covid,,btreeolc,17835908,0,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126182001,1,0,0,0,0,datasets/covid,,btreeolc,19138285,0,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,22
20241126182118,0,1,0,0,0,datasets/covid,,btreeolc,12232615,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126182343,1,0,0,0,0,datasets/covid,,btreeolc,1385229,100000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126182438,0,1,0,0,0,datasets/covid,,btreeolc,23950456,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126182550,1,0,0,0,0,datasets/covid,,btreeolc,2792500,100000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
20241126182635,0,1,0,0,0,datasets/covid,,btreeolc,44883299,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,21
